record_id,species_group,species,category,disease,aliases,cause,signs,diagnosis,treatment_raw,prevention,red_flags,zoonotic,emergency,clinical_review_status,clinical_review_notes,source_type
VD-014,Livestock,Cattle,Metabolic,Grain Overload,Rumen acidosis,Excess grain intake,Diarrhea | dehydration | depression | laminitis | rumen stasis,History | rumen pH <5 (per notes) | diarrhea,Rumen lavage + IV sodium bicarbonate + fluids + thiamine + antibiotics (per notes),Gradual grain introduction,Severe dehydration | recumbency | shock | laminitis,No,Yes,Needs veterinary validation,Treatment depends on severity and acid-base status; veterinarian must validate bicarbonate/antibiotic use.,User-provided educational notes
VD-015,Livestock,Cattle,Digestive/Other,Calf Diarrhea,Calf scour,Escherichia coli; rotavirus; coccidia (examples in notes),Watery diarrhea | dehydration | depression | sunken eyes | cold extremities,Clinical assessment | fecal examination,Oral electrolytes; IV fluids if severe; antibiotics only when bacterial sepsis/systemic infection is suspected; source notes specify E. coli,Cleanliness | adequate early colostrum; source notes specify within 2 hours,Severe dehydration | inability to suck | cold extremities | blood in stool | sepsis,No,Yes,Needs veterinary validation,Etiology-specific treatment is essential; routine antibiotics/antidiarrheals should not be encoded as universal ground truth.,User-provided educational notes
VD-016,Livestock,Cattle,Infectious,Lumpy Skin Disease,LSD,Lumpy skin disease virus,Fever | skin nodules 1-5 cm | nasal discharge | swollen lymph nodes | drop in milk,Clinical signs | PCR,Supportive/symptomatic care; antibiotics only for secondary bacterial infection; anti-inflammatory therapy; vector/fly control,LSD vaccination where officially recommended,Widespread nodules | severe edema | herd outbreak,No,Yes,Needs veterinary validation,May be reportable depending on jurisdiction; official control guidance should supersede generic notes.,User-provided educational notes
VD-017,Livestock,Cattle,Digestive/Other,Foot Rot,,Fusobacterium necrophorum,Severe lameness | swelling between claws | foul smell | reluctance to walk,Clinical examination | characteristic interdigital lesion/odor,Clean/dry environment; systemic antibiotic and anti-inflammatory therapy when indicated; source notes mention CuSO4 foot bath + penicillin,Foot hygiene | dry environment | preventive foot-bath program where appropriate,Severe lameness | deep tissue involvement | fever,No,No,Needs veterinary validation,Copper sulfate concentration and antimicrobial regimen require veterinary validation.,User-provided educational notes
VD-018,Livestock,Cattle,Reproductive,Retained Placenta,RP,Post-calving retained fetal membranes,Fetal membranes retained >12-24 h | foul odor | fever | anorexia,Clinical observation,"Do not forcibly pull; systemic antibiotics if systemic illness/metritis; source notes mention PGF2α, uterine pessaries and fluids if toxic",Good transition nutrition | selenium/vitamin E when deficient | clean calving environment,Toxic metritis | fever | anorexia | dehydration,No,Yes,Needs veterinary validation,Routine uterine pessaries/PGF2α are not universally recommended; veterinarian should define evidence-based protocol.,User-provided educational notes
VD-019,Livestock,Cattle,Reproductive,Dystocia,Difficult calving,Fetal/maternal causes,Prolonged labor | fetus not delivered | persistent straining | ruptured water bag without progress,Obstetrical/vaginal examination,Correct fetal position and controlled obstetrical traction when appropriate; cesarean section if indicated; post-calving supportive therapy as required,Appropriate sire selection | heifer/cow nutrition and calving management,No progress in labor | malpresentation | exhausted dam | fetal distress,No,Yes,Needs veterinary validation,Obstetrical traction and C-section require trained veterinary personnel; avoid fixed time thresholds as sole trigger.,User-provided educational notes
VD-020,Livestock,Cattle,Reproductive,Uterine Prolapse,,Usually immediately post-calving,Large red uterine mass protruding from vulva after calving,Clinical examination,Protect/clean prolapsed uterus; epidural; careful replacement; retention technique if indicated; supportive antibiotics/oxytocin as clinically indicated,Reduce dystocia and metabolic risk; periparturient management,Hemorrhage | shock | contaminated/traumatized uterus,No,Yes,Needs veterinary validation,Source note specifies KMnO4; antiseptic choice/concentration should not be used without veterinary protocol.,User-provided educational notes
VD-021,Livestock,Cattle,Reproductive,Pyometra,,Postpartum uterine infection with persistent corpus luteum,Anestrus | purulent vaginal discharge | enlarged uterus,Rectal palpation | ultrasonography,PGF2α when a functional corpus luteum is present; source notes say 2 doses 11 days apart and intrauterine antibiotics,Clean calving | early diagnosis/treatment of metritis,Systemic illness | fever | toxic metritis differential,No,No,Needs veterinary validation,Regimen must depend on reproductive status and veterinarian examination; intrauterine antibiotics are not universally indicated.,User-provided educational notes
VD-022,Livestock,Cattle,Respiratory,Bovine Respiratory Disease / Calf Pneumonia,Pneumonia,Mannheimia spp.; Pasteurella spp.; respiratory viruses,Fever | cough | nasal discharge | dyspnea | decreased appetite,Clinical examination | lung auscultation | imaging where available,Veterinary-selected antimicrobial when bacterial disease is suspected + NSAID/supportive care; source notes mention bronchodilator/nebulization,Ventilation | colostrum | vaccination as appropriate,Open-mouth breathing | cyanosis | severe respiratory distress,No,Yes,Needs veterinary validation,Antimicrobial selection and duration should follow local stewardship and diagnosis.,User-provided educational notes
VD-023,Livestock,Cattle,Respiratory/Infectious,Infectious Bovine Rhinotracheitis,IBR,Bovine herpesvirus 1,Red nose | fever | nasal discharge | conjunctivitis | abortion | drop in milk,Clinical signs | PCR | serology,Supportive care; antibiotics only for secondary bacterial infection,IBR vaccination according to local herd program,Abortion outbreak | severe respiratory disease,No,Yes,Needs veterinary validation,Vet review required before clinical deployment,User-provided educational notes
VD-024,Livestock,Cattle,Skin,Mange,,Mites,Intense itching | hair loss | thickened skin | crusts,Skin scraping,Ivermectin 0.2 mg/kg SC with repeat after 14 days + amitraz dip (per notes),Isolation | environmental hygiene/disinfection,Severe skin lesions | marked weight loss,No,No,Needs veterinary validation,"Agent-specific diagnosis, dose, retreatment interval and food-animal withdrawal requirements need validation.",User-provided educational notes
VD-025,Livestock,Cattle,Skin,Ringworm,,Dermatophyte fungus,Circular hairless scaly patches on head/neck,Clinical exam | fungal microscopy/culture; source notes mention Wood's lamp,Topical antifungal/environmental management; source notes mention oral griseofulvin and lime sulfur,Hygiene | reduce crowding | disinfection,Extensive lesions | immunocompromised animal,Yes,No,Needs veterinary validation,Griseofulvin use in food animals may be restricted/prohibited; do not use source note as prescribing ground truth.,User-provided educational notes
VD-026,Livestock,Cattle,Nervous/Systemic,Rabies,,Rabies virus,Behavior change | aggression or depression | excessive salivation | paralysis | difficulty swallowing,"Exposure history | clinical suspicion | laboratory confirmation, generally postmortem",No treatment for clinically affected animal; isolate and notify veterinary/public-health authorities,Rabies vaccination according to local risk and regulations,Neurologic signs + salivation | human exposure risk,Yes,Yes,Needs veterinary validation,Fatal zoonosis. App must direct users to emergency veterinary/public-health authorities and avoid handling suspected animals.,User-provided educational notes
VD-027,Livestock,Cattle,Nervous/Systemic,Tetanus,,Clostridium tetani,Stiff gait | saw-horse stance | lockjaw | prolapsed third eyelid | convulsions,Clinical signs | wound history,Antitoxin + antimicrobial therapy + muscle relaxation/sedation + quiet low-stimulus environment + wound management,Vaccination | appropriate wound prophylaxis,Dysphagia | respiratory compromise | recumbency/convulsions,No,Yes,Needs veterinary validation,Vet review required before clinical deployment,User-provided educational notes
VD-028,Livestock,Cattle,Nervous/Systemic,Anthrax,,Bacillus anthracis,Sudden death | absent/incomplete rigor mortis | dark blood from orifices | swollen carcass,Do not open carcass; official veterinary laboratory diagnosis,Urgent official veterinary control; antimicrobial treatment may be considered only under authority/veterinarian direction in live suspected cases,Vaccination in endemic areas | official carcass disposal/control,Sudden unexplained death | bleeding from orifices | human exposure risk,Yes,Yes,Needs veterinary validation,High-risk zoonotic/reportable disease. Source instruction to use blood smear/penicillin must not replace official anthrax protocol; carcass must not be opened.,User-provided educational notes
VD-029,Livestock,Cattle,Nutritional,Vitamin A Deficiency,,Dietary vitamin A deficiency,Night blindness | rough hair coat | poor growth | reproductive problems,Diet history | clinical assessment | laboratory testing when available,Vitamin A supplementation/injection based on veterinarian/nutritionist assessment; source notes state 2-5 million IU IM,Adequate green forage or formulated vitamin A supplementation,Neurologic/visual impairment in young animals,No,No,Needs veterinary validation,High-dose vitamin A can be harmful; dose should not be treated as universal.,User-provided educational notes
VD-030,Livestock,Cattle,Nutritional,Selenium/Vitamin E Deficiency,White muscle disease,Selenium and/or vitamin E deficiency,Stiff gait | difficulty standing | sudden death in calves,Clinical assessment | selenium/vitamin E status | muscle enzymes where available,Selenium + vitamin E therapy under veterinarian supervision,Balanced mineral program based on local deficiency risk,Sudden death | severe weakness | respiratory involvement,No,Yes,Needs veterinary validation,Selenium has a narrow safety margin; exact dose must be veterinarian-prescribed.,User-provided educational notes
VD-031,Livestock,Cattle,Nutritional,Copper Deficiency,,Copper deficiency or impaired copper availability,Rough coat | faded coat color | anemia | diarrhea | periocular depigmentation,Blood/liver copper assessment + diet/mineral evaluation,Copper supplementation based on confirmed deficiency,Balanced mineral supplementation,Severe anemia | chronic wasting,No,No,Needs veterinary validation,Copper toxicity risk varies by species and formulation; do not encode generic injection/oral dosing without validation.,User-provided educational notes
VD-032,Livestock,Cattle,Nutritional,Phosphorus Deficiency,,Dietary phosphorus deficiency,Pica | bone/soil licking | poor growth | depraved appetite,Dietary assessment | serum phosphorus with clinical context,Dietary phosphorus supplementation such as dicalcium phosphate when indicated,Balanced mineral supplementation,Severe pica | poor growth | fractures,No,No,Needs veterinary validation,Source note links phosphorus deficiency directly to milk fever; this is misleading and should be corrected before model training.,User-provided educational notes
VD-033,Livestock,Cattle,Emergency,Heat Stress,,High environmental heat load/humidity,Panting | drooling | respiratory rate >80/min (per notes) | drop in milk/feed intake,Clinical assessment + environmental heat/humidity,"Immediate cooling: shade, airflow/fans, sprinklers/water cooling, drinking water, electrolyte/fluid support as indicated",Shade | ventilation/cooling | adequate water,Open-mouth breathing | collapse | very high body temperature,No,Yes,Needs veterinary validation,Vet review required before clinical deployment,User-provided educational notes
VD-034,Livestock,Cattle,Emergency,Downer Cow Syndrome,,"Prolonged recumbency secondary to metabolic, traumatic, neurologic or other disease",Unable to stand for >24 h (source definition),Identify primary cause | physical/neurologic exam | blood tests as indicated,Treat underlying cause + frequent repositioning + deep bedding/supportive nursing; flotation/lifting only with trained personnel,Prevent metabolic disease | safe flooring | early treatment of recumbent cows,Prolonged recumbency | pressure injury | severe pain | inability to eat/drink,No,Yes,Needs veterinary validation,Vet review required before clinical deployment,User-provided educational notes
VD-035,Livestock,Cattle,Emergency/Urinary,Urolithiasis,Urinary calculi,Urinary stone formation; common in males,Straining | dribbling urine | swollen prepuce | tail swishing,Clinical exam | palpation | ultrasonography,Emergency relief of obstruction; surgical options include tube cystostomy or urethrostomy; urinary acidification such as ammonium chloride when appropriate,Balanced ration; source notes use Ca:P ratio 2:1 | adequate water | urinary acidification when indicated,No urine | abdominal distension | uroperitoneum | severe pain,No,Yes,Needs veterinary validation,Obstructed male is an emergency. Surgical procedure and ammonium chloride dose require veterinarian management.,User-provided educational notes
VD-036,Livestock,Cattle,Infectious/Neonatal,Navel Ill / Joint Ill,,Bacterial infection/septicemia entering through umbilicus,Swollen/infected navel | fever | swollen joints | lameness | depression,Clinical examination | neonatal history | culture/bloodwork when available,Prompt veterinarian-selected systemic antibiotics + NSAID/supportive care; navel care,Clean calving | prompt appropriate navel disinfection | colostrum,Septicemia | multiple swollen joints | recumbency,No,Yes,Needs veterinary validation,Antibiotic choice/duration should be culture and stewardship guided; iodine concentration for navel dipping must be protocol-defined.,User-provided educational notes
VD-037,Livestock,Cattle,Digestive/Other,Displaced Abomasum,LDA; RDA,"Abomasal displacement, usually around early lactation",Sudden drop in milk | anorexia/reduced appetite | characteristic ping on left or right side,Auscultation/percussion | clinical examination | ultrasonography where available,Surgical correction is common; rolling may be used selectively but has recurrence/risk considerations,Transition-cow nutrition and management,Right-sided displacement/torsion | tachycardia | shock,No,Yes,Needs veterinary validation,RDA/abomasal volvulus can be a surgical emergency; do not present rolling as equivalent to definitive treatment.,User-provided educational notes
VD-038,Companion Animal,Dog,Infectious,Canine Parvovirus,Parvo,Canine parvovirus,Severe vomiting | bloody diarrhea | fever | dehydration | lethargy | foul-smelling diarrhea,Parvovirus antigen/SNAP test | clinical signs | CBC/leukopenia,Aggressive fluid/electrolyte support + antiemetic + nutrition + antibiotics when sepsis/neutropenia risk warrants; no routine specific antiviral,Core vaccination (DHPP/DA2PP) | isolation and disinfection,Bloody diarrhea | repeated vomiting | severe dehydration | shock,No,Yes,Needs veterinary validation,Vet review required before clinical deployment,User-provided educational notes
VD-039,Companion Animal,Dog,Infectious,Canine Distemper,,Canine distemper virus,Fever | nasal/ocular discharge | cough | vomiting/diarrhea | twitching | seizures,Clinical suspicion | PCR/other laboratory testing as available | vaccination history,"Supportive care: fluids/nutrition, antibiotics only for secondary bacterial infection, anticonvulsants when required",Core vaccination,Seizures | myoclonus | respiratory distress,No,Yes,Needs veterinary validation,Vet review required before clinical deployment,User-provided educational notes
VD-040,Companion Animal,Dog,Respiratory/Infectious,Kennel Cough,Infectious tracheobronchitis,Bordetella bronchiseptica; parainfluenza and other respiratory pathogens,Dry hacking cough | goose-honk cough | gagging | sneezing,Clinical examination | exposure/boarding history,Rest/supportive care; doxycycline when bacterial Bordetella infection is suspected or clinically indicated; cough suppressant only in selected non-pneumonic cases,Bordetella and respiratory vaccination based on risk,Fever | lethargy | productive cough | dyspnea suggesting pneumonia,No,No,Needs veterinary validation,Vet review required before clinical deployment,User-provided educational notes
VD-041,Companion Animal,Dog,Skin,Dermatitis / Skin Allergy,,Flea allergy; food allergy; atopic dermatitis and other causes,Itching | hair loss | erythema | paw licking | recurrent ear disease,Dermatologic exam | flea combing | cytology/skin scraping | diet trial/allergy workup as indicated,Cause-specific therapy; flea control; anti-pruritic therapy may include oclacitinib or lokivetmab; corticosteroids only when appropriate; diet trial for food allergy,Consistent ectoparasite prevention | allergen management,Facial swelling | breathing difficulty | severe skin infection,No,Yes,Needs veterinary validation,Medication contraindications and patient-specific risks require veterinarian assessment.,User-provided educational notes
VD-042,Companion Animal,Dog,Ear,Otitis Externa,Ear infection,"Bacterial/yeast infection often secondary to allergy, moisture or anatomy",Head shaking | ear scratching | odor | erythema | discharge,Otoscopy | ear cytology,Ear cleaning when tympanum status permits + topical antimicrobial/antifungal/anti-inflammatory selected from cytology,Address underlying allergy | keep ears appropriately dry/clean,Head tilt | neurologic signs | severe pain | ruptured tympanum concern,No,No,Needs veterinary validation,Vet review required before clinical deployment,User-provided educational notes
VD-043,Companion Animal,Dog,Digestive,Acute Gastritis / Vomiting,,Dietary indiscretion; toxin; many other causes,Vomiting | anorexia | lethargy,"Clinical exam; imaging/labs when foreign body, toxin, pancreatitis or systemic disease suspected",Fluids as indicated + antiemetic such as maropitant when appropriate + gastroprotectant only when indicated; feeding plan individualized,Prevent garbage/toxin/foreign-body access,Repeated vomiting | abdominal pain | distension | hematemesis | inability to keep water down,No,Yes,Needs veterinary validation,"Source note says NPO 12 h; prolonged fasting is not universally appropriate, especially in puppies or some disease states.",User-provided educational notes
VD-044,Companion Animal,Dog,Musculoskeletal,Hip Dysplasia,,Developmental hip joint laxity/osteoarthritis; genetic and environmental factors,Hind-limb lameness | difficulty rising | bunny hopping | pain,"Orthopedic examination | radiographs, often with sedation/positioning",Weight management + exercise/rehabilitation + veterinarian-prescribed analgesia/NSAID + selected supplements; surgery for appropriate severe cases,Responsible breeding | weight control | appropriate growth management,Non-weight-bearing lameness | severe acute pain,No,No,Needs veterinary validation,Vet review required before clinical deployment,User-provided educational notes
VD-045,Companion Animal,Dog,Reproductive/Emergency,Pyometra,,Uterine infection in intact female dog,Lethargy | increased drinking | vaginal discharge in open pyometra | anorexia | fever; often weeks after estrus,Ultrasound/imaging | CBC/chemistry | clinical examination,Emergency ovariohysterectomy is standard definitive treatment in many cases + IV fluids + antibiotics; medical management only in selected specialist cases,Spaying,Collapse | abdominal distension | sepsis | closed-cervix pyometra,No,Yes,Needs veterinary validation,Vet review required before clinical deployment,User-provided educational notes
VD-046,Companion Animal,Cat,Infectious,Feline Panleukopenia,Feline parvo,Feline panleukopenia virus,Vomiting | diarrhea | fever | severe dehydration | sudden death in kittens,FPV antigen/PCR as available | CBC/leukopenia | clinical signs,"Intensive supportive care: fluids/electrolytes, antiemetic, nutrition, antibiotics when bacterial translocation/sepsis risk warrants",Core FVRCP vaccination | isolation/disinfection,Severe dehydration | hypothermia | collapse | very young kitten,No,Yes,Needs veterinary validation,Vet review required before clinical deployment,User-provided educational notes
VD-047,Companion Animal,Cat,Respiratory/Infectious,Feline Upper Respiratory Infection,URI,Feline herpesvirus-1; feline calicivirus; other pathogens,Sneezing | nasal discharge | eye discharge | oral ulcers | fever,Clinical examination; PCR/cytology when indicated,"Supportive care, hydration/nutrition, eye therapy when indicated; antibiotics only when secondary bacterial infection is suspected",FVRCP vaccination | reduce crowding/stress,Open-mouth breathing | anorexia >24 h | corneal ulcer | severe dehydration,No,Yes,Needs veterinary validation,Source notes mention lysine; routine lysine supplementation for FHV is not supported consistently and should not be ground truth.,User-provided educational notes
VD-048,Companion Animal,Cat,Urinary/Emergency,Feline Lower Urinary Tract Disease,FLUTD,"Idiopathic cystitis, uroliths, urethral plugs and other causes",Straining to urinate | blood in urine | crying in litter box | genital licking | frequent small urinations,Urinalysis | imaging | clinical examination; rule out urethral obstruction,Cause-specific treatment; analgesia and urinary diet/water strategies where appropriate; male urethral obstruction requires emergency catheterization/stabilization,Increase water intake | appropriate diet | stress/litter-box management,Straining with little/no urine | vomiting | lethargy | painful bladder,No,Yes,Needs veterinary validation,Routine antibiotics are not indicated for most young cats with FLUTD unless bacterial infection is documented.,User-provided educational notes
VD-049,Companion Animal,Cat,Renal,Chronic Kidney Disease,CKD,Chronic progressive renal dysfunction,Increased drinking/urination | weight loss | vomiting | halitosis | poor appetite,Creatinine/BUN | SDMA where available | urinalysis/USG | blood pressure and staging,Renal diet + hydration support + phosphate control/antiemetic/blood-pressure or proteinuria treatment based on stage and findings,Routine senior-cat screening; no guaranteed prevention,Severe dehydration | anorexia | uremic signs | acute worsening,No,No,Needs veterinary validation,Vet review required before clinical deployment,User-provided educational notes
VD-050,Companion Animal,Cat,Endocrine,Diabetes Mellitus,,Insulin deficiency/resistance,Increased thirst/urination | increased appetite | weight loss,Persistent hyperglycemia + glucosuria; fructosamine when useful; rule out stress hyperglycemia,Insulin therapy + appropriate diet + home/clinic glucose monitoring,Weight management may reduce risk,Ketones | vomiting | lethargy | diabetic ketoacidosis signs,No,Yes,Needs veterinary validation,Vet review required before clinical deployment,User-provided educational notes
VD-051,Companion Animal,Cat,Endocrine,Hyperthyroidism,,Functional thyroid adenoma/adenomatous hyperplasia in older cats,Weight loss despite appetite | hyperactivity | vomiting | increased thirst,Serum total T4; additional thyroid testing/imaging if equivocal,"Methimazole, radioactive iodine, surgery or iodine-restricted diet depending on case",No established routine prevention,Severe tachycardia | heart failure signs | hypertension complications,No,No,Needs veterinary validation,Vet review required before clinical deployment,User-provided educational notes
VD-052,Companion Animal,Cat,Respiratory,Feline Asthma,,Inflammatory lower-airway disease,Coughing | wheezing | increased respiratory effort | open-mouth breathing,"Thoracic radiographs + clinical assessment; rule out heartworm, infection and other causes",Inhaled/systemic corticosteroid + bronchodilator when indicated; oxygen and emergency stabilization for severe attacks,"Avoid smoke, aerosols and dusty litter where possible",Open-mouth breathing | cyanosis | severe respiratory distress,No,Yes,Needs veterinary validation,Vet review required before clinical deployment,User-provided educational notes
VD-053,Companion Animal,Dog; Cat,Parasitic,Fleas & Ticks,,Fleas; ticks,Itching | hair loss | flea dirt | visible ticks | anemia in severe flea burden,Physical examination | parasite identification,"Species-appropriate ectoparasiticide and environmental control; source notes list fipronil, afoxolaner/NexGard, fluralaner/Bravecto",Regular veterinarian-recommended flea/tick prevention,Severe anemia in young animal | tick paralysis | systemic tick-borne disease signs,No,No,Needs veterinary validation,Never generalize dog-only products to cats; permethrin-containing dog products can be highly toxic to cats.,User-provided educational notes
VD-054,Companion Animal,Dog; Cat,Parasitic,Intestinal Worms,,Roundworms; tapeworms; hookworms,Diarrhea | weight loss | pot belly in young animals | vomiting worms | anemia with hookworms,Fecal flotation/antigen testing as appropriate,"Parasite-specific deworming; source notes list fenbendazole, praziquantel and combination products",Age- and risk-based deworming/fecal testing + flea control for tapeworm prevention,Severe anemia | melena | dehydration | failure to thrive,Some parasites,No,Needs veterinary validation,"Deworming every 3 months is not universally optimal; schedule should follow age, lifestyle and local parasite guidelines.",User-provided educational notes
VD-055,Companion Animal,Dog; Cat,Emergency/Trauma,Trauma / Accident,,Blunt or penetrating trauma,Lameness | bleeding | fracture | pain | shock signs,Primary survey/physical exam | imaging and laboratory tests as indicated,Hemorrhage control + stabilization/oxygen/IV access as indicated + veterinarian-prescribed analgesia + surgery/fracture management when required,Leash/carrier/fencing and safe environment,Breathing difficulty | uncontrolled bleeding | pale gums | collapse | major fracture,No,Yes,Needs veterinary validation,Vet review required before clinical deployment,User-provided educational notes
VD-056,Companion Animal,Dog; Cat,Toxicology/Emergency,Poisoning,,"Examples in notes: acetaminophen/paracetamol, chocolate, grapes/raisins, anticoagulant rodenticide",Vomiting | diarrhea | tremors | seizures | pale gums | variable toxin-specific signs,Exposure history | toxin-specific examination/laboratory testing,Immediate veterinary/poison-control guidance; decontamination only when appropriate; activated charcoal or antidotes such as vitamin K1 for anticoagulant rodenticide when indicated; IV/supportive therapy,"Secure medications, foods, chemicals and rodenticides",Seizures | breathing difficulty | collapse | known toxin ingestion | acetaminophen exposure in cats,Yes/Depends,Yes,Needs veterinary validation,Do NOT encode 'induce vomiting if <2 h' as universal advice; emesis is contraindicated for many toxins/clinical states and must be directed by a veterinarian/poison service.,User-provided educational notes
