record_id,species,disease,model_input_text,model_target_text,clinical_review_status
VD-011,Cattle,Milk Fever,Species: Cattle. Disease candidate: Milk Fever. Clinical signs: Downer cow | S-shaped neck | cold extremities | bloat | muscle tremors | unconsciousness.,Disease: Milk Fever | Cause: Low blood calcium after calving | Diagnosis: Periparturient history | clinical signs | low blood calcium; source notes use <5 mg/dL | Treatment: 20% calcium borogluconate 400-500 mL IV slowly; repeat after 6-8 h if needed (per notes) | Prevention: Pre-calving dietary cation-anion management/anionic salts | vitamin D only under veterinary/nutrition guidance | Emergency: Yes | Zoonotic: No.,Needs veterinary validation
VD-012,Cattle,Ketosis,Species: Cattle. Disease candidate: Ketosis. Clinical signs: Drop in milk | acetone odor on breath/urine | nervous signs | licking | weight loss.,Disease: Ketosis | Cause: Negative energy balance after calving | Diagnosis: Ketone testing in urine/milk | blood glucose | Treatment: 50% dextrose 500 mL IV + propylene glycol 250 mL orally twice daily for 5 days + glucocorticoid (per notes) | Prevention: Good transition diet | avoid over-conditioning | Emergency: No | Zoonotic: No.,Needs veterinary validation
VD-013,Cattle,Bloat,Species: Cattle. Disease candidate: Bloat. Clinical signs: Distended left flank | respiratory distress | discomfort | kicking at belly.,Disease: Bloat | Cause: Gas accumulation in rumen; diet-associated | Diagnosis: Clinical examination | distended rumen | Treatment: Stomach tube for free gas; poloxalene 25-50 g orally; antifoaming agent; trocarization in life-threatening cases | Prevention: Avoid sudden access to lush legumes | feed hay before high-risk pasture | Emergency: Yes | Zoonotic: No.,Needs veterinary validation
VD-014,Cattle,Grain Overload,Species: Cattle. Disease candidate: Grain Overload. Clinical signs: Diarrhea | dehydration | depression | laminitis | rumen stasis.,Disease: Grain Overload | Cause: Excess grain intake | Diagnosis: History | rumen pH <5 (per notes) | diarrhea | Treatment: Rumen lavage + IV sodium bicarbonate + fluids + thiamine + antibiotics (per notes) | Prevention: Gradual grain introduction | Emergency: Yes | Zoonotic: No.,Needs veterinary validation
VD-015,Cattle,Calf Diarrhea,Species: Cattle. Disease candidate: Calf Diarrhea. Clinical signs: Watery diarrhea | dehydration | depression | sunken eyes | cold extremities.,Disease: Calf Diarrhea | Cause: Escherichia coli; rotavirus; coccidia (examples in notes) | Diagnosis: Clinical assessment | fecal examination | Treatment: Oral electrolytes; IV fluids if severe; antibiotics only when bacterial sepsis/systemic infection is suspected; source notes specify E. coli | Prevention: Cleanliness | adequate early colostrum; source notes specify within 2 hours | Emergency: Yes | Zoonotic: No.,Needs veterinary validation
VD-016,Cattle,Lumpy Skin Disease,Species: Cattle. Disease candidate: Lumpy Skin Disease. Clinical signs: Fever | skin nodules 1-5 cm | nasal discharge | swollen lymph nodes | drop in milk.,Disease: Lumpy Skin Disease | Cause: Lumpy skin disease virus | Diagnosis: Clinical signs | PCR | Treatment: Supportive/symptomatic care; antibiotics only for secondary bacterial infection; anti-inflammatory therapy; vector/fly control | Prevention: LSD vaccination where officially recommended | Emergency: Yes | Zoonotic: No.,Needs veterinary validation
VD-017,Cattle,Foot Rot,Species: Cattle. Disease candidate: Foot Rot. Clinical signs: Severe lameness | swelling between claws | foul smell | reluctance to walk.,Disease: Foot Rot | Cause: Fusobacterium necrophorum | Diagnosis: Clinical examination | characteristic interdigital lesion/odor | Treatment: Clean/dry environment; systemic antibiotic and anti-inflammatory therapy when indicated; source notes mention CuSO4 foot bath + penicillin | Prevention: Foot hygiene | dry environment | preventive foot-bath program where appropriate | Emergency: No | Zoonotic: No.,Needs veterinary validation
VD-018,Cattle,Retained Placenta,Species: Cattle. Disease candidate: Retained Placenta. Clinical signs: Fetal membranes retained >12-24 h | foul odor | fever | anorexia.,"Disease: Retained Placenta | Cause: Post-calving retained fetal membranes | Diagnosis: Clinical observation | Treatment: Do not forcibly pull; systemic antibiotics if systemic illness/metritis; source notes mention PGF2α, uterine pessaries and fluids if toxic | Prevention: Good transition nutrition | selenium/vitamin E when deficient | clean calving environment | Emergency: Yes | Zoonotic: No.",Needs veterinary validation
VD-019,Cattle,Dystocia,Species: Cattle. Disease candidate: Dystocia. Clinical signs: Prolonged labor | fetus not delivered | persistent straining | ruptured water bag without progress.,Disease: Dystocia | Cause: Fetal/maternal causes | Diagnosis: Obstetrical/vaginal examination | Treatment: Correct fetal position and controlled obstetrical traction when appropriate; cesarean section if indicated; post-calving supportive therapy as required | Prevention: Appropriate sire selection | heifer/cow nutrition and calving management | Emergency: Yes | Zoonotic: No.,Needs veterinary validation
VD-020,Cattle,Uterine Prolapse,Species: Cattle. Disease candidate: Uterine Prolapse. Clinical signs: Large red uterine mass protruding from vulva after calving.,Disease: Uterine Prolapse | Cause: Usually immediately post-calving | Diagnosis: Clinical examination | Treatment: Protect/clean prolapsed uterus; epidural; careful replacement; retention technique if indicated; supportive antibiotics/oxytocin as clinically indicated | Prevention: Reduce dystocia and metabolic risk; periparturient management | Emergency: Yes | Zoonotic: No.,Needs veterinary validation
VD-021,Cattle,Pyometra,Species: Cattle. Disease candidate: Pyometra. Clinical signs: Anestrus | purulent vaginal discharge | enlarged uterus.,Disease: Pyometra | Cause: Postpartum uterine infection with persistent corpus luteum | Diagnosis: Rectal palpation | ultrasonography | Treatment: PGF2α when a functional corpus luteum is present; source notes say 2 doses 11 days apart and intrauterine antibiotics | Prevention: Clean calving | early diagnosis/treatment of metritis | Emergency: No | Zoonotic: No.,Needs veterinary validation
VD-022,Cattle,Bovine Respiratory Disease / Calf Pneumonia,Species: Cattle. Disease candidate: Bovine Respiratory Disease / Calf Pneumonia. Clinical signs: Fever | cough | nasal discharge | dyspnea | decreased appetite.,Disease: Bovine Respiratory Disease / Calf Pneumonia | Cause: Mannheimia spp.; Pasteurella spp.; respiratory viruses | Diagnosis: Clinical examination | lung auscultation | imaging where available | Treatment: Veterinary-selected antimicrobial when bacterial disease is suspected + NSAID/supportive care; source notes mention bronchodilator/nebulization | Prevention: Ventilation | colostrum | vaccination as appropriate | Emergency: Yes | Zoonotic: No.,Needs veterinary validation
VD-023,Cattle,Infectious Bovine Rhinotracheitis,Species: Cattle. Disease candidate: Infectious Bovine Rhinotracheitis. Clinical signs: Red nose | fever | nasal discharge | conjunctivitis | abortion | drop in milk.,Disease: Infectious Bovine Rhinotracheitis | Cause: Bovine herpesvirus 1 | Diagnosis: Clinical signs | PCR | serology | Treatment: Supportive care; antibiotics only for secondary bacterial infection | Prevention: IBR vaccination according to local herd program | Emergency: Yes | Zoonotic: No.,Needs veterinary validation
VD-024,Cattle,Mange,Species: Cattle. Disease candidate: Mange. Clinical signs: Intense itching | hair loss | thickened skin | crusts.,Disease: Mange | Cause: Mites | Diagnosis: Skin scraping | Treatment: Ivermectin 0.2 mg/kg SC with repeat after 14 days + amitraz dip (per notes) | Prevention: Isolation | environmental hygiene/disinfection | Emergency: No | Zoonotic: No.,Needs veterinary validation
VD-025,Cattle,Ringworm,Species: Cattle. Disease candidate: Ringworm. Clinical signs: Circular hairless scaly patches on head/neck.,Disease: Ringworm | Cause: Dermatophyte fungus | Diagnosis: Clinical exam | fungal microscopy/culture; source notes mention Wood's lamp | Treatment: Topical antifungal/environmental management; source notes mention oral griseofulvin and lime sulfur | Prevention: Hygiene | reduce crowding | disinfection | Emergency: No | Zoonotic: Yes.,Needs veterinary validation
VD-026,Cattle,Rabies,Species: Cattle. Disease candidate: Rabies. Clinical signs: Behavior change | aggression or depression | excessive salivation | paralysis | difficulty swallowing.,"Disease: Rabies | Cause: Rabies virus | Diagnosis: Exposure history | clinical suspicion | laboratory confirmation, generally postmortem | Treatment: No treatment for clinically affected animal; isolate and notify veterinary/public-health authorities | Prevention: Rabies vaccination according to local risk and regulations | Emergency: Yes | Zoonotic: Yes.",Needs veterinary validation
VD-027,Cattle,Tetanus,Species: Cattle. Disease candidate: Tetanus. Clinical signs: Stiff gait | saw-horse stance | lockjaw | prolapsed third eyelid | convulsions.,Disease: Tetanus | Cause: Clostridium tetani | Diagnosis: Clinical signs | wound history | Treatment: Antitoxin + antimicrobial therapy + muscle relaxation/sedation + quiet low-stimulus environment + wound management | Prevention: Vaccination | appropriate wound prophylaxis | Emergency: Yes | Zoonotic: No.,Needs veterinary validation
VD-028,Cattle,Anthrax,Species: Cattle. Disease candidate: Anthrax. Clinical signs: Sudden death | absent/incomplete rigor mortis | dark blood from orifices | swollen carcass.,Disease: Anthrax | Cause: Bacillus anthracis | Diagnosis: Do not open carcass; official veterinary laboratory diagnosis | Treatment: Urgent official veterinary control; antimicrobial treatment may be considered only under authority/veterinarian direction in live suspected cases | Prevention: Vaccination in endemic areas | official carcass disposal/control | Emergency: Yes | Zoonotic: Yes.,Needs veterinary validation
VD-029,Cattle,Vitamin A Deficiency,Species: Cattle. Disease candidate: Vitamin A Deficiency. Clinical signs: Night blindness | rough hair coat | poor growth | reproductive problems.,Disease: Vitamin A Deficiency | Cause: Dietary vitamin A deficiency | Diagnosis: Diet history | clinical assessment | laboratory testing when available | Treatment: Vitamin A supplementation/injection based on veterinarian/nutritionist assessment; source notes state 2-5 million IU IM | Prevention: Adequate green forage or formulated vitamin A supplementation | Emergency: No | Zoonotic: No.,Needs veterinary validation
VD-030,Cattle,Selenium/Vitamin E Deficiency,Species: Cattle. Disease candidate: Selenium/Vitamin E Deficiency. Clinical signs: Stiff gait | difficulty standing | sudden death in calves.,Disease: Selenium/Vitamin E Deficiency | Cause: Selenium and/or vitamin E deficiency | Diagnosis: Clinical assessment | selenium/vitamin E status | muscle enzymes where available | Treatment: Selenium + vitamin E therapy under veterinarian supervision | Prevention: Balanced mineral program based on local deficiency risk | Emergency: Yes | Zoonotic: No.,Needs veterinary validation
VD-031,Cattle,Copper Deficiency,Species: Cattle. Disease candidate: Copper Deficiency. Clinical signs: Rough coat | faded coat color | anemia | diarrhea | periocular depigmentation.,Disease: Copper Deficiency | Cause: Copper deficiency or impaired copper availability | Diagnosis: Blood/liver copper assessment + diet/mineral evaluation | Treatment: Copper supplementation based on confirmed deficiency | Prevention: Balanced mineral supplementation | Emergency: No | Zoonotic: No.,Needs veterinary validation
VD-032,Cattle,Phosphorus Deficiency,Species: Cattle. Disease candidate: Phosphorus Deficiency. Clinical signs: Pica | bone/soil licking | poor growth | depraved appetite.,Disease: Phosphorus Deficiency | Cause: Dietary phosphorus deficiency | Diagnosis: Dietary assessment | serum phosphorus with clinical context | Treatment: Dietary phosphorus supplementation such as dicalcium phosphate when indicated | Prevention: Balanced mineral supplementation | Emergency: No | Zoonotic: No.,Needs veterinary validation
VD-033,Cattle,Heat Stress,Species: Cattle. Disease candidate: Heat Stress. Clinical signs: Panting | drooling | respiratory rate >80/min (per notes) | drop in milk/feed intake.,"Disease: Heat Stress | Cause: High environmental heat load/humidity | Diagnosis: Clinical assessment + environmental heat/humidity | Treatment: Immediate cooling: shade, airflow/fans, sprinklers/water cooling, drinking water, electrolyte/fluid support as indicated | Prevention: Shade | ventilation/cooling | adequate water | Emergency: Yes | Zoonotic: No.",Needs veterinary validation
VD-034,Cattle,Downer Cow Syndrome,Species: Cattle. Disease candidate: Downer Cow Syndrome. Clinical signs: Unable to stand for >24 h (source definition).,"Disease: Downer Cow Syndrome | Cause: Prolonged recumbency secondary to metabolic, traumatic, neurologic or other disease | Diagnosis: Identify primary cause | physical/neurologic exam | blood tests as indicated | Treatment: Treat underlying cause + frequent repositioning + deep bedding/supportive nursing; flotation/lifting only with trained personnel | Prevention: Prevent metabolic disease | safe flooring | early treatment of recumbent cows | Emergency: Yes | Zoonotic: No.",Needs veterinary validation
VD-035,Cattle,Urolithiasis,Species: Cattle. Disease candidate: Urolithiasis. Clinical signs: Straining | dribbling urine | swollen prepuce | tail swishing.,Disease: Urolithiasis | Cause: Urinary stone formation; common in males | Diagnosis: Clinical exam | palpation | ultrasonography | Treatment: Emergency relief of obstruction; surgical options include tube cystostomy or urethrostomy; urinary acidification such as ammonium chloride when appropriate | Prevention: Balanced ration; source notes use Ca:P ratio 2:1 | adequate water | urinary acidification when indicated | Emergency: Yes | Zoonotic: No.,Needs veterinary validation
VD-036,Cattle,Navel Ill / Joint Ill,Species: Cattle. Disease candidate: Navel Ill / Joint Ill. Clinical signs: Swollen/infected navel | fever | swollen joints | lameness | depression.,Disease: Navel Ill / Joint Ill | Cause: Bacterial infection/septicemia entering through umbilicus | Diagnosis: Clinical examination | neonatal history | culture/bloodwork when available | Treatment: Prompt veterinarian-selected systemic antibiotics + NSAID/supportive care; navel care | Prevention: Clean calving | prompt appropriate navel disinfection | colostrum | Emergency: Yes | Zoonotic: No.,Needs veterinary validation
VD-037,Cattle,Displaced Abomasum,Species: Cattle. Disease candidate: Displaced Abomasum. Clinical signs: Sudden drop in milk | anorexia/reduced appetite | characteristic ping on left or right side.,"Disease: Displaced Abomasum | Cause: Abomasal displacement, usually around early lactation | Diagnosis: Auscultation/percussion | clinical examination | ultrasonography where available | Treatment: Surgical correction is common; rolling may be used selectively but has recurrence/risk considerations | Prevention: Transition-cow nutrition and management | Emergency: Yes | Zoonotic: No.",Needs veterinary validation
VD-038,Dog,Canine Parvovirus,Species: Dog. Disease candidate: Canine Parvovirus. Clinical signs: Severe vomiting | bloody diarrhea | fever | dehydration | lethargy | foul-smelling diarrhea.,Disease: Canine Parvovirus | Cause: Canine parvovirus | Diagnosis: Parvovirus antigen/SNAP test | clinical signs | CBC/leukopenia | Treatment: Aggressive fluid/electrolyte support + antiemetic + nutrition + antibiotics when sepsis/neutropenia risk warrants; no routine specific antiviral | Prevention: Core vaccination (DHPP/DA2PP) | isolation and disinfection | Emergency: Yes | Zoonotic: No.,Needs veterinary validation
VD-039,Dog,Canine Distemper,Species: Dog. Disease candidate: Canine Distemper. Clinical signs: Fever | nasal/ocular discharge | cough | vomiting/diarrhea | twitching | seizures.,"Disease: Canine Distemper | Cause: Canine distemper virus | Diagnosis: Clinical suspicion | PCR/other laboratory testing as available | vaccination history | Treatment: Supportive care: fluids/nutrition, antibiotics only for secondary bacterial infection, anticonvulsants when required | Prevention: Core vaccination | Emergency: Yes | Zoonotic: No.",Needs veterinary validation
VD-040,Dog,Kennel Cough,Species: Dog. Disease candidate: Kennel Cough. Clinical signs: Dry hacking cough | goose-honk cough | gagging | sneezing.,Disease: Kennel Cough | Cause: Bordetella bronchiseptica; parainfluenza and other respiratory pathogens | Diagnosis: Clinical examination | exposure/boarding history | Treatment: Rest/supportive care; doxycycline when bacterial Bordetella infection is suspected or clinically indicated; cough suppressant only in selected non-pneumonic cases | Prevention: Bordetella and respiratory vaccination based on risk | Emergency: No | Zoonotic: No.,Needs veterinary validation
VD-041,Dog,Dermatitis / Skin Allergy,Species: Dog. Disease candidate: Dermatitis / Skin Allergy. Clinical signs: Itching | hair loss | erythema | paw licking | recurrent ear disease.,Disease: Dermatitis / Skin Allergy | Cause: Flea allergy; food allergy; atopic dermatitis and other causes | Diagnosis: Dermatologic exam | flea combing | cytology/skin scraping | diet trial/allergy workup as indicated | Treatment: Cause-specific therapy; flea control; anti-pruritic therapy may include oclacitinib or lokivetmab; corticosteroids only when appropriate; diet trial for food allergy | Prevention: Consistent ectoparasite prevention | allergen management | Emergency: Yes | Zoonotic: No.,Needs veterinary validation
VD-042,Dog,Otitis Externa,Species: Dog. Disease candidate: Otitis Externa. Clinical signs: Head shaking | ear scratching | odor | erythema | discharge.,"Disease: Otitis Externa | Cause: Bacterial/yeast infection often secondary to allergy, moisture or anatomy | Diagnosis: Otoscopy | ear cytology | Treatment: Ear cleaning when tympanum status permits + topical antimicrobial/antifungal/anti-inflammatory selected from cytology | Prevention: Address underlying allergy | keep ears appropriately dry/clean | Emergency: No | Zoonotic: No.",Needs veterinary validation
VD-043,Dog,Acute Gastritis / Vomiting,Species: Dog. Disease candidate: Acute Gastritis / Vomiting. Clinical signs: Vomiting | anorexia | lethargy.,"Disease: Acute Gastritis / Vomiting | Cause: Dietary indiscretion; toxin; many other causes | Diagnosis: Clinical exam; imaging/labs when foreign body, toxin, pancreatitis or systemic disease suspected | Treatment: Fluids as indicated + antiemetic such as maropitant when appropriate + gastroprotectant only when indicated; feeding plan individualized | Prevention: Prevent garbage/toxin/foreign-body access | Emergency: Yes | Zoonotic: No.",Needs veterinary validation
VD-044,Dog,Hip Dysplasia,Species: Dog. Disease candidate: Hip Dysplasia. Clinical signs: Hind-limb lameness | difficulty rising | bunny hopping | pain.,"Disease: Hip Dysplasia | Cause: Developmental hip joint laxity/osteoarthritis; genetic and environmental factors | Diagnosis: Orthopedic examination | radiographs, often with sedation/positioning | Treatment: Weight management + exercise/rehabilitation + veterinarian-prescribed analgesia/NSAID + selected supplements; surgery for appropriate severe cases | Prevention: Responsible breeding | weight control | appropriate growth management | Emergency: No | Zoonotic: No.",Needs veterinary validation
VD-045,Dog,Pyometra,Species: Dog. Disease candidate: Pyometra. Clinical signs: Lethargy | increased drinking | vaginal discharge in open pyometra | anorexia | fever; often weeks after estrus.,Disease: Pyometra | Cause: Uterine infection in intact female dog | Diagnosis: Ultrasound/imaging | CBC/chemistry | clinical examination | Treatment: Emergency ovariohysterectomy is standard definitive treatment in many cases + IV fluids + antibiotics; medical management only in selected specialist cases | Prevention: Spaying | Emergency: Yes | Zoonotic: No.,Needs veterinary validation
VD-046,Cat,Feline Panleukopenia,Species: Cat. Disease candidate: Feline Panleukopenia. Clinical signs: Vomiting | diarrhea | fever | severe dehydration | sudden death in kittens.,"Disease: Feline Panleukopenia | Cause: Feline panleukopenia virus | Diagnosis: FPV antigen/PCR as available | CBC/leukopenia | clinical signs | Treatment: Intensive supportive care: fluids/electrolytes, antiemetic, nutrition, antibiotics when bacterial translocation/sepsis risk warrants | Prevention: Core FVRCP vaccination | isolation/disinfection | Emergency: Yes | Zoonotic: No.",Needs veterinary validation
VD-047,Cat,Feline Upper Respiratory Infection,Species: Cat. Disease candidate: Feline Upper Respiratory Infection. Clinical signs: Sneezing | nasal discharge | eye discharge | oral ulcers | fever.,"Disease: Feline Upper Respiratory Infection | Cause: Feline herpesvirus-1; feline calicivirus; other pathogens | Diagnosis: Clinical examination; PCR/cytology when indicated | Treatment: Supportive care, hydration/nutrition, eye therapy when indicated; antibiotics only when secondary bacterial infection is suspected | Prevention: FVRCP vaccination | reduce crowding/stress | Emergency: Yes | Zoonotic: No.",Needs veterinary validation
VD-048,Cat,Feline Lower Urinary Tract Disease,Species: Cat. Disease candidate: Feline Lower Urinary Tract Disease. Clinical signs: Straining to urinate | blood in urine | crying in litter box | genital licking | frequent small urinations.,"Disease: Feline Lower Urinary Tract Disease | Cause: Idiopathic cystitis, uroliths, urethral plugs and other causes | Diagnosis: Urinalysis | imaging | clinical examination; rule out urethral obstruction | Treatment: Cause-specific treatment; analgesia and urinary diet/water strategies where appropriate; male urethral obstruction requires emergency catheterization/stabilization | Prevention: Increase water intake | appropriate diet | stress/litter-box management | Emergency: Yes | Zoonotic: No.",Needs veterinary validation
VD-049,Cat,Chronic Kidney Disease,Species: Cat. Disease candidate: Chronic Kidney Disease. Clinical signs: Increased drinking/urination | weight loss | vomiting | halitosis | poor appetite.,Disease: Chronic Kidney Disease | Cause: Chronic progressive renal dysfunction | Diagnosis: Creatinine/BUN | SDMA where available | urinalysis/USG | blood pressure and staging | Treatment: Renal diet + hydration support + phosphate control/antiemetic/blood-pressure or proteinuria treatment based on stage and findings | Prevention: Routine senior-cat screening; no guaranteed prevention | Emergency: No | Zoonotic: No.,Needs veterinary validation
VD-050,Cat,Diabetes Mellitus,Species: Cat. Disease candidate: Diabetes Mellitus. Clinical signs: Increased thirst/urination | increased appetite | weight loss.,Disease: Diabetes Mellitus | Cause: Insulin deficiency/resistance | Diagnosis: Persistent hyperglycemia + glucosuria; fructosamine when useful; rule out stress hyperglycemia | Treatment: Insulin therapy + appropriate diet + home/clinic glucose monitoring | Prevention: Weight management may reduce risk | Emergency: Yes | Zoonotic: No.,Needs veterinary validation
VD-051,Cat,Hyperthyroidism,Species: Cat. Disease candidate: Hyperthyroidism. Clinical signs: Weight loss despite appetite | hyperactivity | vomiting | increased thirst.,"Disease: Hyperthyroidism | Cause: Functional thyroid adenoma/adenomatous hyperplasia in older cats | Diagnosis: Serum total T4; additional thyroid testing/imaging if equivocal | Treatment: Methimazole, radioactive iodine, surgery or iodine-restricted diet depending on case | Prevention: No established routine prevention | Emergency: No | Zoonotic: No.",Needs veterinary validation
VD-052,Cat,Feline Asthma,Species: Cat. Disease candidate: Feline Asthma. Clinical signs: Coughing | wheezing | increased respiratory effort | open-mouth breathing.,"Disease: Feline Asthma | Cause: Inflammatory lower-airway disease | Diagnosis: Thoracic radiographs + clinical assessment; rule out heartworm, infection and other causes | Treatment: Inhaled/systemic corticosteroid + bronchodilator when indicated; oxygen and emergency stabilization for severe attacks | Prevention: Avoid smoke, aerosols and dusty litter where possible | Emergency: Yes | Zoonotic: No.",Needs veterinary validation
VD-053,Dog; Cat,Fleas & Ticks,Species: Dog; Cat. Disease candidate: Fleas & Ticks. Clinical signs: Itching | hair loss | flea dirt | visible ticks | anemia in severe flea burden.,"Disease: Fleas & Ticks | Cause: Fleas; ticks | Diagnosis: Physical examination | parasite identification | Treatment: Species-appropriate ectoparasiticide and environmental control; source notes list fipronil, afoxolaner/NexGard, fluralaner/Bravecto | Prevention: Regular veterinarian-recommended flea/tick prevention | Emergency: No | Zoonotic: No.",Needs veterinary validation
VD-054,Dog; Cat,Intestinal Worms,Species: Dog; Cat. Disease candidate: Intestinal Worms. Clinical signs: Diarrhea | weight loss | pot belly in young animals | vomiting worms | anemia with hookworms.,"Disease: Intestinal Worms | Cause: Roundworms; tapeworms; hookworms | Diagnosis: Fecal flotation/antigen testing as appropriate | Treatment: Parasite-specific deworming; source notes list fenbendazole, praziquantel and combination products | Prevention: Age- and risk-based deworming/fecal testing + flea control for tapeworm prevention | Emergency: No | Zoonotic: Some parasites.",Needs veterinary validation
VD-055,Dog; Cat,Trauma / Accident,Species: Dog; Cat. Disease candidate: Trauma / Accident. Clinical signs: Lameness | bleeding | fracture | pain | shock signs.,Disease: Trauma / Accident | Cause: Blunt or penetrating trauma | Diagnosis: Primary survey/physical exam | imaging and laboratory tests as indicated | Treatment: Hemorrhage control + stabilization/oxygen/IV access as indicated + veterinarian-prescribed analgesia + surgery/fracture management when required | Prevention: Leash/carrier/fencing and safe environment | Emergency: Yes | Zoonotic: No.,Needs veterinary validation
VD-056,Dog; Cat,Poisoning,Species: Dog; Cat. Disease candidate: Poisoning. Clinical signs: Vomiting | diarrhea | tremors | seizures | pale gums | variable toxin-specific signs.,"Disease: Poisoning | Cause: Examples in notes: acetaminophen/paracetamol, chocolate, grapes/raisins, anticoagulant rodenticide | Diagnosis: Exposure history | toxin-specific examination/laboratory testing | Treatment: Immediate veterinary/poison-control guidance; decontamination only when appropriate; activated charcoal or antidotes such as vitamin K1 for anticoagulant rodenticide when indicated; IV/supportive therapy | Prevention: Secure medications, foods, chemicals and rodenticides | Emergency: Yes | Zoonotic: Yes/Depends.",Needs veterinary validation
